final_volume,duration,avg_rate,area,max_slope,label
175.4,546.0,0.32124542124542127,57210.58,2.09,Sprout
170.7,725.0,0.23544827586206896,73684.18,2.4,Sprout
171.7,530.0,0.32396226415094337,60251.770000000004,2.0,Sprout
176.0,724.0,0.2430939226519337,84569.27,1.3,Sprout
170.6,803.0,0.212453300124533,72256.52,1.2,Sprout
171.9,833.0,0.20636254501800722,90831.71,2.0,Sprout
171.0,542.0,0.3154981549815498,61711.86,2.0,Sprout
165.4,707.0,0.23394625176803396,75064.16,1.3,Sprout
162.1,726.0,0.22327823691460055,69185.76000000001,2.2,Sprout
166.6,606.0,0.2749174917491749,56518.439999999995,1.2000000000000002,Sprout
160.6,685.0,0.23445255474452553,64493.56999999999,1.7999999999999998,Rwanda
176.2,738.0,0.23875338753387532,83835.42000000001,1.1999999999999993,Rwanda
172.3,581.0,0.29655765920826166,64376.48999999999,1.7000000000000028,Rwanda
178.5,1072.0,0.16651119402985073,119295.17000000001,1.0,Rwanda
192.0,811.0,0.23674475955610358,87714.35999999999,15.599999999999994,Rwanda
178.5,801.0,0.22284644194756553,86260.67000000001,1.1000000000000014,Rwanda
170.4,631.0,0.2700475435816165,61229.3,1.5000000000000002,Rwanda
173.6,460.0,0.3773913043478261,40223.030000000006,19.4,Rwanda
174.4,480.0,0.36333333333333334,44580.94,1.1999999999999886,Rwanda
418.3,539.0,0.7760667903525047,27923.64,222.0,Rwanda
